127.0.0.1 - - [16/Jun/2022:10:03:54 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:03:56 +0800] "GET /YiQingManageSystem/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:03:59 +0800] "GET /YiQingManageSystem/home/system/index HTTP/1.1" 200 17391
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:03:59 +0800] "GET /YiQingManageSystem/common/file/view_photo?filename=../resources/upload/common/no_image.jpg HTTP/1.1" 200 17673
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:03:59 +0800] "GET /YiQingManageSystem/common/file/view_photo?filename=../resources/upload/20220215/20220613100049.jpg HTTP/1.1" 200 144243
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:04:12 +0800] "GET /YiQingManageSystem/home/system/index HTTP/1.1" 200 17391
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:04:12 +0800] "GET /YiQingManageSystem/common/file/view_photo?filename=../resources/upload/common/no_image.jpg HTTP/1.1" 200 17673
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:04:12 +0800] "GET /YiQingManageSystem/common/file/view_photo?filename=../resources/upload/20220215/20220613100049.jpg HTTP/1.1" 200 144243
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:04:12 +0800] "GET /favicon.ico HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:04:14 +0800] "GET /YiQingManageSystem/admin/user/login HTTP/1.1" 200 8114
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:04:15 +0800] "GET /YiQingManageSystem/common/captcha/generate_captcha?vl=4&fs=21&w=94&h=29&method=admin_login HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:04:24 +0800] "POST /YiQingManageSystem/admin/user/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:04:24 +0800] "GET /YiQingManageSystem/admin/system/index HTTP/1.1" 200 21535
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:04:24 +0800] "GET /YiQingManageSystem/common/file/view_photo?filename=../resources/upload/20220215/20220613100049.jpg HTTP/1.1" 200 144243
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:04:27 +0800] "GET /YiQingManageSystem/admin/user/index HTTP/1.1" 200 22576
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:04:27 +0800] "GET /YiQingManageSystem/common/file/view_photo?filename=../resources/upload/20220215/20220613100049.jpg HTTP/1.1" 200 144243
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:04:27 +0800] "GET /YiQingManageSystem/common/file/view_photo?filename=../resources/upload/common/no_image.jpg HTTP/1.1" 200 17673
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:04:27 +0800] "POST /YiQingManageSystem/admin/user/page HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:04:27 +0800] "POST /YiQingManageSystem/admin/user/list HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:04:27 +0800] "GET /YiQingManageSystem/common/file/view_photo?filename=../resources/upload/20220228/20220613100416.jpg HTTP/1.1" 200 141699
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:04:27 +0800] "GET /YiQingManageSystem/common/file/view_photo?filename=../resources/upload/20220613/1655107183937.jpg HTTP/1.1" 200 102690
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:04:27 +0800] "GET /YiQingManageSystem/common/file/view_photo?filename=../resources/upload/20220613/1655107492552.jpg HTTP/1.1" 200 95850
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:04:27 +0800] "GET /YiQingManageSystem/common/file/view_photo?filename=../resources/upload/20220613/1655119850956.jpg HTTP/1.1" 200 94868
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:05:46 +0800] "GET /YiQingManageSystem/admin/good-apply/index HTTP/1.1" 200 23573
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:05:46 +0800] "GET /YiQingManageSystem/common/file/view_photo?filename=../resources/upload/20220215/20220613100049.jpg HTTP/1.1" 200 144243
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:05:47 +0800] "POST /YiQingManageSystem/admin/good-apply/page HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:05:47 +0800] "POST /YiQingManageSystem/admin/good-apply/list HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:07:34 +0800] "GET /YiQingManageSystem/admin/news/index HTTP/1.1" 200 19756
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:07:34 +0800] "GET /YiQingManageSystem/common/file/view_photo?filename=../resources/upload/20220215/20220613100049.jpg HTTP/1.1" 200 144243
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:07:34 +0800] "POST /YiQingManageSystem/admin/news/page HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:07:34 +0800] "POST /YiQingManageSystem/admin/news/list HTTP/1.1" 200 32051
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:08:39 +0800] "GET /YiQingManageSystem/admin/daily-report/index HTTP/1.1" 200 22917
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:08:39 +0800] "GET /YiQingManageSystem/common/file/view_photo?filename=../resources/upload/20220215/20220613100049.jpg HTTP/1.1" 200 144243
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:08:39 +0800] "POST /YiQingManageSystem/admin/daily-report/page HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:08:40 +0800] "POST /YiQingManageSystem/admin/daily-report/list HTTP/1.1" 200 2249
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:09:45 +0800] "GET /YiQingManageSystem/admin/maps/index HTTP/1.1" 200 19007
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:09:45 +0800] "GET /YiQingManageSystem/common/file/view_photo?filename=../resources/upload/20220215/20220613100049.jpg HTTP/1.1" 200 144243
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:09:45 +0800] "POST /YiQingManageSystem/admin/maps/page HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:09:45 +0800] "POST /YiQingManageSystem/admin/maps/list HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:10:50 +0800] "GET /YiQingManageSystem/admin/comment/index HTTP/1.1" 200 16111
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:10:50 +0800] "GET /YiQingManageSystem/common/file/view_photo?filename=../resources/upload/20220215/20220613100049.jpg HTTP/1.1" 200 144243
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:10:50 +0800] "POST /YiQingManageSystem/admin/comment/page HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [16/Jun/2022:10:10:50 +0800] "POST /YiQingManageSystem/admin/comment/list HTTP/1.1" 200 30870
